"customer_id","revenue","most_recent_visit","number_of_orders","recency_days"
5420,1046,2006-05-12,15,234
3645,458,2006-08-31,5,123
12164,785,2006-04-28,8,248
20053,631,2006-08-10,7,144
23431,829,2006-12-29,11,3
24450,774,2006-05-12,9,234
35940,939,2006-08-17,9,137
23927,670,2005-09-20,8,468
1503,1593,2006-08-06,15,148
8825,564,2006-11-09,8,53
20321,719,2005-12-23,10,374
1586,805,2006-08-16,9,138
18299,1813,2006-07-20,17,165
2361,1061,2006-08-06,12,148
25939,756,2006-09-29,11,94
26169,952,2006-10-31,12,62
12646,974,2006-08-29,11,125
6077,1053,2006-11-09,7,53
35782,1340,2006-11-21,10,41
2602,82,2006-01-28,2,338
27978,920,2006-11-08,10,54
7304,1604,2006-12-18,13,14
21828,672,2006-08-02,9,152
6493,1108,2006-07-22,9,163
18792,1322,2006-01-11,13,355
853,1149,2006-11-26,12,36
9013,2309,2006-09-09,20,114
2411,1299,2005-11-19,13,408
24441,1241,2006-11-13,11,49
1362,1332,2006-10-25,12,68
34895,801,2006-08-13,10,141
24281,1189,2006-10-24,14,69
17693,561,2006-06-28,5,187
25777,481,2006-04-02,8,274
33572,739,2006-07-29,10,156
2449,1021,2006-09-01,14,122
33084,384,2006-07-07,4,178
16247,1144,2006-11-10,12,52
20391,842,2006-09-19,10,104
27486,916,2006-08-29,13,125
792,296,2006-06-28,3,187
17435,674,2006-07-24,10,161
15424,679,2006-05-26,7,220
24665,1140,2006-10-14,13,79
27728,766,2005-10-26,8,432
2216,557,2006-06-06,5,209
7095,916,2006-09-13,10,110
26064,621,2006-05-20,7,226
19500,327,2006-03-01,7,306
16506,468,2005-08-12,5,507
10433,842,2005-07-22,7,528
30899,612,2006-11-27,6,35
25570,1150,2006-07-30,14,155
14993,1374,2006-06-24,11,191
15706,1040,2006-10-29,9,64
9412,720,2006-08-19,10,135
31103,936,2006-11-25,13,37
36297,716,2006-06-11,6,204
26157,607,2005-11-08,8,419
32517,415,2006-06-28,7,187
1361,1003,2006-11-11,11,51
25066,1717,2006-07-26,15,159
17448,693,2006-08-29,5,125
22219,960,2006-03-16,10,291
39065,1495,2006-10-12,15,81
28575,1100,2006-11-30,12,32
1337,786,2006-12-07,13,25
32754,937,2006-12-11,10,21
8993,610,2006-05-30,7,216
11434,817,2006-08-01,9,153
15377,917,2006-06-06,11,209
33893,1149,2005-10-03,10,455
18030,962,2006-04-12,9,264
17453,701,2005-09-28,7,460
23018,971,2006-08-22,10,132
1279,287,2005-10-18,5,440
1214,1487,2005-12-23,14,374
22011,1082,2006-03-29,9,278
39321,547,2005-12-31,7,366
326,433,2006-10-02,4,91
23661,840,2006-07-24,11,161
30596,770,2006-11-05,7,57
16797,1010,2006-10-16,10,77
25594,638,2006-09-06,8,117
374,1194,2006-04-08,11,268
39230,510,2005-07-07,6,543
35108,1545,2006-12-13,15,19
174,937,2006-10-24,10,69
17237,488,2006-06-29,8,186
16084,363,2005-06-01,5,579
7491,993,2006-08-19,13,135
27471,1887,2005-12-20,18,377
9207,1353,2006-09-05,10,118
18528,1211,2006-11-12,13,50
38298,1398,2006-07-18,14,167
19587,1207,2006-08-15,14,139
28989,1246,2006-07-19,12,166
29479,670,2006-11-05,8,57
18664,653,2005-09-19,8,469
1090,384,2006-05-22,4,224
5593,1027,2006-08-26,12,128
23690,778,2006-06-26,8,189
27899,793,2006-12-16,7,16
15664,558,2005-08-16,6,503
8765,933,2006-07-26,9,159
3983,848,2006-10-30,9,63
15791,1428,2006-10-24,16,69
31044,1311,2006-11-30,9,32
7198,878,2006-08-18,9,136
28277,813,2006-08-18,11,136
37357,1106,2006-12-16,11,16
30978,1095,2006-06-26,10,189
23259,841,2006-01-27,9,339
35337,1318,2006-07-10,16,175
13004,798,2006-10-14,12,79
14611,1324,2006-08-22,16,132
8078,778,2006-09-23,8,100
13111,1418,2006-06-26,12,189
6926,279,2005-10-19,3,439
24676,946,2006-12-15,10,17
31468,821,2006-03-08,8,299
32239,1045,2005-11-21,11,406
2209,1054,2006-03-18,11,289
10979,1413,2006-09-16,11,107
11747,1425,2006-08-16,11,138
15569,759,2006-09-18,10,105
5230,477,2006-04-11,8,265
8143,1506,2006-12-08,15,24
35493,1153,2006-07-28,11,157
3486,1013,2006-11-03,15,59
5984,935,2006-05-17,10,229
28385,1315,2006-08-02,13,152
14855,602,2006-07-13,7,172
17113,444,2006-03-19,6,288
1114,1041,2006-07-28,9,157
4618,852,2005-08-30,7,489
7014,1453,2006-05-27,15,219
38050,527,2006-09-08,8,115
34618,936,2006-08-02,9,152
8416,1034,2006-08-30,10,124
29938,1415,2006-07-28,15,157
19149,575,2006-12-26,7,6
17979,500,2006-07-14,4,171
13722,664,2006-08-05,8,149
34183,437,2005-12-05,6,392
1492,1315,2006-06-05,10,210
32218,1200,2006-06-12,13,203
22599,515,2005-07-07,7,543
7475,729,2006-08-03,10,151
2674,292,2006-06-15,4,200
15245,1375,2006-07-26,12,159
33202,1589,2006-06-21,16,194
15052,885,2006-08-07,8,147
3413,849,2006-03-24,8,283
7005,434,2005-09-20,6,468
35377,823,2006-04-06,9,270
23036,934,2006-09-16,9,107
29174,796,2006-12-25,10,7
781,623,2005-06-28,6,552
4543,1344,2006-10-20,13,73
5090,739,2006-08-30,11,124
4580,879,2006-09-22,11,101
6332,953,2006-06-20,8,195
13986,1418,2006-07-13,13,172
1461,599,2006-08-02,7,152
10569,320,2006-01-07,8,359
13438,626,2006-11-24,6,38
5164,1403,2006-08-21,13,133
30361,768,2006-07-27,9,158
8138,942,2006-10-30,10,63
39866,975,2005-08-06,10,513
23672,1284,2006-02-09,11,326
24041,747,2006-07-23,10,162
15017,1481,2006-10-19,12,74
38073,488,2006-06-18,7,197
13403,538,2006-11-04,6,58
38786,682,2006-07-28,9,157
2621,825,2006-08-20,8,134
29826,1512,2006-12-10,14,22
30208,528,2006-05-03,4,243
17601,1118,2006-10-30,9,63
10400,851,2006-10-14,12,79
28709,1015,2005-10-01,11,457
28074,749,2006-07-26,9,159
8288,1847,2006-08-09,17,145
6868,690,2006-12-15,9,17
2410,1255,2006-11-16,12,46
32240,463,2006-12-14,7,18
2402,715,2006-06-26,9,189
32812,667,2006-08-17,8,137
1764,2000,2006-07-18,15,167
38671,960,2006-06-01,8,214
17640,581,2005-10-24,5,434
32250,845,2006-08-19,11,135
35166,959,2005-08-13,10,506
36825,770,2006-09-11,11,112
9443,884,2005-07-24,8,526
38453,1260,2006-12-12,14,20
16535,1904,2006-07-08,17,177
799,1085,2006-11-27,12,35
36792,532,2006-06-12,7,203
7018,740,2006-05-27,8,219
20628,1384,2006-09-18,15,105
1175,1014,2006-08-07,9,147
37630,618,2006-05-30,7,216
6181,926,2006-05-28,10,218
9644,1102,2006-10-19,11,74
20953,1147,2006-10-31,10,62
37924,1301,2006-11-03,11,59
15203,1178,2006-06-29,12,186
8044,1006,2006-01-24,11,342
4213,697,2006-09-04,8,119
39507,808,2006-03-09,7,298
6587,1327,2006-08-25,11,129
25565,460,2005-12-26,7,371
6832,1264,2006-11-24,12,38
23688,1135,2006-08-07,12,147
16245,1066,2006-10-03,13,90
39504,1495,2006-11-06,18,56
39527,559,2006-01-07,10,359
6179,370,2006-05-23,4,223
19393,755,2006-07-15,8,170
29957,1078,2006-06-18,12,197
15095,1099,2006-08-29,11,125
17743,1499,2006-09-28,15,95
4996,950,2006-11-08,9,54
18770,944,2006-07-22,13,163
39161,1460,2006-05-30,16,216
1537,1017,2006-09-16,10,107
3117,1004,2006-08-27,10,127
19489,655,2005-10-18,8,440
26111,946,2006-08-14,11,140
6879,1312,2006-09-21,12,102
34987,653,2006-09-30,10,93
21628,734,2006-03-01,7,306
14056,1043,2006-12-24,14,8
19610,851,2005-10-15,7,443
23756,1243,2006-11-22,17,40
24877,948,2005-12-08,9,389
4124,551,2006-03-31,5,276
30435,1267,2006-12-04,12,28
6683,1530,2006-08-13,14,141
29895,419,2006-05-16,7,230
9408,1099,2006-06-04,10,211
29358,1370,2006-10-31,13,62
5365,947,2006-11-04,9,58
16668,1047,2006-10-12,10,81
32190,1008,2006-11-14,8,48
31908,625,2006-04-23,7,253
5344,1086,2006-11-18,13,44
36632,856,2006-05-27,7,219
14375,814,2006-07-18,8,167
35283,674,2006-10-15,10,78
3913,1567,2006-04-30,13,246
6873,1124,2006-07-11,14,174
19197,878,2006-11-20,10,42
26136,1229,2006-06-19,14,196
32568,591,2006-09-21,7,102
33530,1069,2006-11-26,10,36
22143,1234,2005-11-07,11,420
14971,782,2006-07-25,9,160
10028,646,2005-07-01,6,549
25657,1103,2006-07-14,12,171
26161,805,2006-07-23,8,162
20229,512,2005-10-08,6,450
13607,1157,2006-08-02,12,152
3790,595,2006-08-25,9,129
25915,977,2005-12-04,9,393
21515,652,2006-12-17,10,15
14189,852,2005-11-28,7,399
10040,583,2005-11-28,7,399
8355,980,2006-11-21,14,41
35422,397,2006-12-23,6,9
32484,1079,2006-05-10,13,236
7849,702,2006-11-27,9,35
2182,755,2006-07-01,7,184
17051,1306,2006-11-24,14,38
19289,933,2006-07-01,11,184
10474,1327,2006-09-15,13,108
12162,1289,2006-07-11,15,174
1319,1143,2006-11-25,12,37
2717,1059,2006-10-16,10,77
18110,651,2006-09-20,9,103
25382,1251,2006-11-18,11,44
27934,809,2006-05-22,8,224
18211,491,2006-07-25,7,160
1941,775,2006-08-22,8,132
24830,894,2006-09-20,9,103
30540,991,2006-08-18,8,136
5356,321,2006-08-21,3,133
22109,395,2006-07-23,5,162
18367,877,2006-11-15,10,47
9411,892,2006-08-31,9,123
4959,161,2006-07-16,2,169
38910,659,2005-09-02,8,486
39372,1075,2006-09-16,12,107
6803,1299,2006-08-30,10,124
31426,896,2006-05-19,9,227
33211,543,2005-08-06,6,513
1060,766,2005-07-30,8,520
16580,1328,2006-05-13,13,233
12355,559,2006-08-03,6,151
8409,1087,2006-10-09,11,84
33005,953,2006-04-06,7,270
32747,1104,2006-10-24,12,69
209,1495,2006-11-01,16,61
34414,886,2006-04-19,8,257
14743,884,2006-10-28,8,65
18022,608,2006-08-30,8,124
20839,2239,2006-07-06,23,179
35278,1494,2006-10-17,16,76
7919,737,2006-12-13,8,19
31414,1207,2006-07-24,13,161
37323,755,2006-04-05,9,271
27647,1104,2006-09-29,11,94
27515,885,2006-06-17,12,198
36698,658,2006-11-15,10,47
3166,653,2006-12-19,9,13
39460,1468,2006-06-24,14,191
9496,696,2006-09-16,9,107
34052,1596,2006-09-17,16,106
13562,790,2006-04-01,10,275
12860,1051,2006-06-13,10,202
32987,1607,2006-09-10,15,113
26197,598,2006-01-07,5,359
13715,404,2006-12-26,4,6
10862,756,2006-09-22,9,101
11840,498,2006-04-15,8,261
36189,1404,2006-11-13,9,49
616,792,2006-07-11,10,174
34964,723,2006-06-15,7,200
27875,785,2005-11-20,7,407
22936,786,2006-05-11,8,235
32256,1112,2006-07-17,11,168
4542,1465,2006-12-23,13,9
27919,527,2006-09-27,9,96
13717,724,2006-12-12,6,20
21752,713,2006-09-06,7,117
24716,1081,2006-12-22,12,10
21869,1121,2006-08-28,15,126
4938,464,2006-06-28,5,187
8474,829,2006-12-02,10,30
25178,1418,2006-10-31,13,62
3575,1198,2006-05-14,15,232
13280,1034,2006-07-13,8,172
29706,1413,2006-07-01,15,184
32223,539,2006-08-11,9,143
33926,1339,2006-01-14,12,352
1679,1035,2006-09-12,12,111
25058,248,2006-05-03,4,243
605,956,2006-09-02,9,121
9190,1344,2006-09-18,13,105
36623,1016,2006-10-23,11,70
6877,934,2006-07-22,8,163
33396,1092,2006-06-15,11,200
36060,922,2006-04-16,10,260
14800,1242,2006-09-12,14,111
15986,810,2006-09-30,11,93
28502,482,2006-08-23,7,131
1880,1081,2006-06-27,11,188
18286,1039,2006-07-01,10,184
18053,1098,2006-05-25,13,221
28441,1031,2006-10-26,11,67
33853,1030,2006-09-12,9,111
16225,1211,2006-09-24,13,99
19095,319,2006-11-03,5,59
21594,1086,2006-08-26,10,128
22589,1169,2006-03-10,12,297
8803,1351,2006-06-26,14,189
9603,880,2006-03-05,9,302
33345,777,2006-08-27,8,127
36194,846,2006-07-06,7,179
9425,1003,2006-12-14,9,18
10886,1284,2006-10-18,11,75
39426,1063,2006-08-05,12,149
10794,580,2005-05-26,6,585
30391,948,2006-04-28,11,248
7039,900,2006-07-26,11,159
21867,1109,2006-09-22,12,101
24346,648,2005-12-06,9,391
7578,1448,2006-11-01,13,61
23649,1177,2006-08-17,10,137
34495,1597,2006-10-08,13,85
4999,1331,2006-08-26,14,128
37928,853,2006-05-25,8,221
1775,1406,2006-11-21,12,41
6656,1432,2006-09-21,14,102
16161,320,2006-06-06,4,209
10334,867,2006-07-01,9,184
30351,765,2006-11-14,7,48
8589,882,2006-08-28,7,126
28400,989,2006-04-29,9,247
19608,747,2006-07-14,9,171
12895,798,2006-10-25,9,68
27499,606,2006-07-16,7,169
25433,850,2005-11-16,6,411
23155,964,2006-05-05,10,241
29778,597,2006-11-10,6,52
23673,1197,2006-06-16,14,199
28649,1217,2006-07-11,10,174
22034,561,2005-10-14,8,444
11675,988,2006-11-10,6,52
12338,1144,2006-09-04,10,119
25147,515,2006-05-01,7,245
24883,764,2006-12-13,6,19
29790,358,2005-09-16,3,472
14035,1511,2006-11-03,15,59
2790,480,2006-03-20,6,287
4632,662,2006-02-10,7,325
30133,562,2006-03-16,6,291
20520,1201,2006-04-06,10,270
28407,762,2006-09-16,7,107
28908,401,2006-08-18,5,136
32264,673,2006-07-19,8,166
989,301,2006-12-16,5,16
39021,758,2006-10-27,10,66
13223,1328,2006-10-29,12,64
6699,931,2006-08-15,8,139
11064,664,2006-10-24,7,69
26652,982,2006-08-25,11,129
34086,1062,2006-09-21,10,102
37287,1151,2006-09-30,11,93
36176,974,2006-09-09,13,114
21132,1444,2006-10-31,11,62
32898,795,2005-10-31,12,427
686,957,2006-06-24,13,191
16223,1659,2006-12-09,18,23
34416,1022,2006-12-10,11,22
38801,1114,2005-09-21,10,467
855,1288,2006-08-30,11,124
10113,1054,2006-10-14,8,79
4010,1065,2006-09-20,14,103
9175,781,2006-06-28,7,187
32368,314,2006-10-03,4,90
12409,295,2006-04-03,4,273
22393,388,2006-10-14,6,79
15391,679,2006-06-08,7,207
31202,1184,2006-12-16,12,16
28544,798,2006-08-07,12,147
19005,1047,2006-11-04,9,58
18513,529,2006-08-19,8,135
3403,328,2005-06-20,3,560
21774,1213,2006-10-22,11,71
12050,343,2006-06-10,7,205
20887,956,2006-07-15,11,170
27508,1160,2005-10-23,11,435
20023,680,2005-07-01,7,549
25009,639,2006-08-25,10,129
32948,1116,2006-10-06,12,87
796,742,2006-05-17,11,229
6776,534,2005-06-22,6,558
33,1077,2006-08-13,11,141
27262,1150,2006-08-02,14,152
19687,955,2006-12-19,9,13
39887,776,2005-12-14,8,383
6842,600,2006-11-11,11,51
10191,831,2006-06-18,7,197
14934,774,2006-02-20,8,315
19072,617,2006-07-19,6,166
3958,962,2006-10-18,12,75
17371,818,2006-08-30,9,124
10916,1250,2006-12-02,13,30
35766,1050,2006-06-02,10,213
14039,1056,2006-11-13,14,49
34929,1367,2006-01-28,17,338
6378,592,2005-12-24,6,373
26459,1886,2006-10-15,16,78
6346,841,2006-10-17,8,76
5202,634,2006-10-09,8,84
24107,919,2006-10-05,13,88
36807,1018,2006-08-02,12,152
9477,931,2006-09-14,9,109
8553,858,2006-11-30,10,32
31337,704,2006-04-13,9,263
33006,541,2006-07-25,7,160
1969,1140,2006-08-01,11,153
23603,947,2006-02-18,11,317
26575,985,2006-09-28,13,95
4939,1118,2006-11-13,11,49
35829,1463,2006-10-15,13,78
19820,673,2005-07-07,5,543
9567,515,2006-06-04,4,211
26082,628,2006-07-17,6,168
16068,1605,2006-03-26,14,281
28676,1123,2006-04-09,11,267
78,762,2006-08-12,6,142
31100,709,2006-07-26,12,159
16063,587,2006-02-13,9,322
35916,503,2006-04-16,7,260
39097,1321,2006-10-02,15,91
10534,415,2006-08-01,5,153
12657,516,2006-05-12,7,234
747,1157,2006-10-31,12,62
18325,1268,2006-10-22,16,71
144,354,2005-08-19,5,500
34538,886,2006-08-14,11,140
6206,688,2006-08-03,9,151
12991,506,2006-10-15,8,78
12567,1103,2006-10-15,13,78
32370,989,2006-08-03,12,151
29655,1285,2006-10-30,12,63
39206,1080,2005-11-28,8,399
36162,1354,2006-07-04,15,181
24167,701,2006-09-27,8,96
7507,835,2006-09-15,9,108
21484,1115,2006-10-15,11,78
4850,1689,2006-12-05,12,27
16519,664,2006-09-22,10,101
8233,570,2006-06-18,8,197
6443,1074,2006-09-19,10,104
17226,1112,2006-05-28,11,218
14694,833,2006-04-24,10,252
169,934,2006-10-13,8,80
28085,1179,2006-09-19,14,104
34051,1328,2006-10-05,11,88
11659,992,2006-06-03,12,212
8486,836,2006-05-02,10,244
39026,627,2006-07-16,6,169
39945,534,2005-09-22,9,466
11383,1330,2006-10-22,11,71
33952,846,2006-07-13,10,172
4117,521,2006-11-06,5,56
34685,753,2006-10-21,8,72
38683,940,2006-10-13,9,80
21249,416,2006-01-10,4,356
15733,749,2006-12-03,8,29
21940,493,2005-05-14,6,597
16157,331,2006-03-12,5,295
7049,919,2006-06-16,10,199
32032,925,2005-11-18,12,409
5108,742,2006-07-22,13,163
5070,1068,2006-10-01,11,92
8161,859,2006-08-06,9,148
14175,1325,2006-10-25,13,68
2788,424,2006-09-12,6,111
35298,802,2006-09-07,6,116
1281,1337,2006-09-27,12,96
11731,704,2005-11-07,8,420
8929,598,2006-09-17,7,106
20301,1466,2006-12-20,17,12
15355,615,2005-12-17,7,380
34177,506,2005-12-10,8,387
12463,590,2006-12-28,10,4
26808,527,2006-09-13,6,110
4099,899,2006-12-23,9,9
27414,227,2005-11-30,4,397
4410,954,2006-11-09,13,53
34307,881,2006-11-16,9,46
14849,836,2006-04-26,6,250
28873,1137,2006-08-29,12,125
24007,1142,2006-08-13,10,141
5162,434,2006-09-04,7,119
24080,1191,2006-06-11,14,204
32085,924,2006-12-04,12,28
14007,1503,2006-05-08,11,238
4310,495,2006-12-11,5,21
20810,1018,2006-12-24,12,8
26991,948,2006-10-03,9,90
8769,532,2006-01-13,10,353
140,842,2006-06-15,10,200
23743,516,2005-08-04,5,515
36614,853,2006-08-05,12,149
8568,843,2006-08-04,7,150
28388,856,2006-04-06,8,270
17912,639,2006-06-23,7,192
27915,1406,2006-06-20,11,195
6653,409,2006-06-02,6,213
38948,1458,2006-08-21,17,133
5332,716,2006-10-09,7,84
6446,986,2006-12-08,10,24
13625,920,2006-10-09,11,84
26461,1290,2006-06-18,12,197
5210,652,2006-07-30,8,155
10127,809,2006-10-08,9,85
34030,969,2006-04-11,9,265
20265,1088,2006-08-04,10,150
39118,1050,2006-09-04,14,119
18271,1307,2006-08-23,13,131
38735,853,2006-06-14,7,201
35742,446,2005-08-29,6,490
11134,556,2005-10-30,5,428
14665,861,2006-03-18,10,289
33304,700,2005-12-19,7,378
31622,690,2006-10-17,9,76
30278,1145,2006-11-19,12,43
26138,1179,2006-06-25,9,190
9972,626,2006-07-03,8,182
33018,1266,2006-08-02,13,152
4130,416,2005-12-09,6,388
21724,1034,2006-07-05,13,180
21495,1061,2006-11-30,12,32
8493,568,2006-04-01,5,275
4134,629,2006-07-12,5,173
20757,860,2005-09-23,11,465
20252,575,2006-07-14,7,171
32916,366,2006-08-31,5,123
32854,1053,2006-08-29,12,125
4829,840,2006-07-30,12,155
24458,1526,2006-05-10,14,236
18019,566,2006-10-05,5,88
26397,1471,2006-08-13,15,141
14599,1004,2006-03-10,13,297
32524,1106,2006-07-02,14,183
18632,1125,2006-07-28,15,157
17779,762,2006-07-26,10,159
27763,376,2006-05-18,5,228
30109,772,2006-12-02,9,30
32290,790,2005-07-10,7,540
1423,593,2006-09-26,8,97
27277,908,2006-08-26,10,128
4286,534,2006-11-27,7,35
36270,757,2006-09-14,8,109
9121,1813,2006-05-22,15,224
24721,353,2006-09-20,5,103
14568,810,2006-05-27,9,219
26925,746,2006-09-06,8,117
19998,1106,2006-11-20,10,42
39642,777,2006-12-29,10,3
33872,1116,2006-07-11,13,174
36354,1069,2006-11-27,13,35
1695,1589,2006-10-18,16,75
675,1005,2006-11-27,12,35
20683,357,2006-02-04,4,331
18825,968,2006-09-02,10,121
42,825,2006-06-13,7,202
10401,796,2006-09-06,9,117
5805,779,2006-09-06,6,117
18786,969,2006-12-27,8,5
17804,601,2005-10-20,10,438
4973,1170,2006-08-07,13,147
11899,944,2006-09-28,13,95
11773,894,2006-08-16,10,138
27436,712,2006-10-10,7,83
1721,825,2006-01-14,8,352
21715,758,2006-10-02,8,91
13089,1001,2006-09-05,13,118
27656,789,2005-10-26,10,432
12311,1218,2005-12-07,11,390
878,1203,2005-11-08,11,419
11361,978,2006-09-28,12,95
9021,1149,2006-12-07,9,25
33582,536,2006-09-27,9,96
39859,893,2006-03-10,9,297
24180,1049,2006-02-24,13,311
7148,1264,2006-06-04,10,211
17129,1344,2006-10-26,12,67
23089,1544,2006-12-16,14,16
2500,1040,2006-12-25,12,7
36564,492,2006-07-22,6,163
33058,1426,2006-08-31,17,123
37396,785,2005-09-20,10,468
9009,508,2006-06-23,7,192
2793,1362,2006-11-17,13,45
37802,502,2006-06-08,8,207
9918,1076,2006-09-03,11,120
26888,1277,2006-06-03,10,212
20361,1321,2006-11-29,13,33
13424,1298,2006-10-20,13,73
29439,639,2006-05-03,9,243
3233,1288,2006-10-19,9,74
13970,1180,2006-08-29,14,125
15729,551,2006-10-04,7,89
10531,1177,2006-12-21,14,11
28788,839,2006-01-18,7,348
34358,731,2006-05-31,7,215
2250,713,2006-07-11,7,174
34632,837,2005-09-16,10,472
14063,2047,2005-12-31,16,366
23041,508,2005-10-08,8,450
32062,1143,2006-07-27,13,158
10188,825,2006-10-12,8,81
32989,930,2006-08-27,10,127
36206,385,2006-11-24,7,38
33562,489,2006-05-24,5,222
39226,246,2005-05-30,3,581
12239,1377,2006-04-30,14,246
35517,667,2006-09-23,9,100
18563,1090,2006-11-24,10,38
29127,1056,2006-05-07,9,239
12923,768,2006-10-26,9,67
2252,575,2006-05-27,5,219
4742,422,2006-05-29,4,217
14926,1597,2006-11-09,17,53
25475,1039,2006-08-08,9,146
6546,1430,2006-08-06,11,148
5263,569,2006-05-22,7,224
21436,838,2006-05-19,8,227
402,1103,2006-07-25,11,160
15113,1172,2005-09-03,11,485
35607,940,2006-09-14,10,109
5950,357,2006-02-13,4,322
38207,1391,2006-09-08,14,115
1740,1099,2005-12-24,9,373
20027,1096,2006-07-25,7,160
1533,917,2006-09-01,12,122
29452,277,2005-08-05,4,514
30284,957,2006-06-17,12,198
3145,1246,2006-05-27,17,219
7881,1150,2006-08-24,13,130
12309,1164,2006-04-21,12,255
8584,1042,2006-07-06,9,179
16504,794,2006-11-22,7,40
22047,744,2006-11-13,9,49
35218,601,2006-09-25,8,98
9463,691,2006-04-30,9,246
17178,490,2006-11-13,6,49
24849,477,2006-11-07,6,55
4305,1378,2006-08-22,12,132
1448,1077,2005-12-13,10,384
8269,1341,2006-10-11,14,82
29846,829,2006-04-08,7,268
10291,532,2006-06-22,7,193
18995,1512,2006-09-18,12,105
25955,688,2006-08-21,11,133
36024,994,2006-10-21,10,72
7395,701,2006-11-04,8,58
11354,978,2006-12-10,11,22
2864,659,2005-10-13,8,445
26784,767,2006-04-06,7,270
35981,645,2006-10-08,9,85
27050,752,2005-12-18,8,379
3297,1256,2006-11-23,13,39
7788,794,2006-06-15,6,200
16135,975,2006-08-02,9,152
22398,921,2006-12-06,6,26
31795,973,2006-05-11,9,235
36878,716,2005-10-03,6,455
8298,148,2006-06-14,6,201
16564,973,2005-08-29,10,490
30611,377,2006-09-02,5,121
34736,895,2006-09-09,9,114
13756,381,2006-08-20,5,134
9347,835,2006-05-31,8,215
18891,1458,2006-06-18,12,197
9448,1000,2006-07-23,9,162
5693,357,2006-07-24,4,161
6163,820,2006-08-05,9,149
10412,1283,2006-11-05,14,57
27666,1117,2006-10-19,9,74
544,649,2006-11-11,10,51
10612,942,2005-12-18,10,379
36810,800,2006-09-18,10,105
37270,664,2006-07-20,9,165
19069,708,2006-04-24,8,252
6611,866,2005-10-06,9,452
5444,488,2006-06-06,8,209
19408,1028,2006-10-05,11,88
34117,1320,2006-08-10,12,144
35561,871,2006-02-05,10,330
97,1146,2006-10-09,10,84
31113,830,2006-07-16,10,169
38228,695,2006-04-14,9,262
7646,679,2006-07-22,9,163
19890,750,2006-05-17,9,229
33354,920,2006-10-11,10,82
33303,978,2006-07-04,11,181
18602,1078,2006-08-18,10,136
335,940,2006-08-11,10,143
30442,1172,2006-05-06,8,240
22818,358,2006-06-18,7,197
33356,687,2006-11-28,10,34
30389,930,2006-09-12,9,111
34421,778,2006-06-20,10,195
2419,1118,2005-11-01,16,426
9069,960,2006-12-30,10,2
39399,1031,2006-11-20,9,42
26538,1028,2006-05-12,10,234
17331,542,2006-09-25,5,98
28304,852,2006-12-05,9,27
11682,918,2006-10-13,13,80
30732,1796,2006-07-10,15,175
14552,965,2006-08-18,9,136
13544,209,2005-07-16,3,534
24638,915,2006-11-27,8,35
23755,839,2006-07-31,7,154
6300,635,2006-11-04,8,58
20004,1187,2005-11-12,11,415
27139,557,2005-12-12,6,385
11456,780,2005-08-25,5,494
8698,871,2006-11-23,9,39
31092,1047,2006-06-09,12,206
10414,707,2006-11-19,9,43
36410,731,2006-07-24,9,161
13141,618,2006-10-11,8,82
38988,1588,2006-12-02,15,30
19445,1450,2006-11-05,12,57
6489,1424,2005-09-30,14,458
38460,565,2005-06-08,8,572
4521,1428,2006-10-27,15,66
30390,921,2006-07-23,10,162
34999,1290,2006-10-14,13,79
3042,1021,2006-04-02,12,274
16976,1013,2006-10-02,13,91
12500,317,2006-07-02,7,183
32755,1201,2006-10-14,12,79
23684,451,2006-06-28,5,187
32765,1010,2005-11-28,10,399
26142,1757,2006-08-30,16,124
35811,794,2006-05-11,10,235
4116,567,2006-07-17,8,168
28036,300,2006-08-15,5,139
32553,750,2006-08-08,8,146
32207,584,2005-10-21,7,437
727,1214,2006-10-21,10,72
4121,830,2006-09-04,8,119
27431,406,2005-02-01,3,699
21579,430,2006-06-08,7,207
7107,876,2006-08-29,7,125
21895,786,2006-10-31,8,62
16670,864,2006-10-20,9,73
36299,1383,2006-11-06,14,56
23234,788,2006-10-04,5,89
21112,846,2006-08-01,10,153
31165,619,2006-07-23,8,162
10881,657,2006-09-08,9,115
41,554,2005-12-01,5,396
21748,665,2006-08-19,6,135
12258,1661,2006-07-23,14,162
14414,349,2006-07-04,6,181
38571,1661,2006-11-05,18,57
5982,1175,2006-10-16,12,77
26803,863,2006-09-18,11,105
24656,1180,2006-08-01,11,153
27897,823,2006-04-26,9,250
30496,1599,2006-09-15,17,108
31535,748,2005-12-26,8,371
6372,704,2006-03-05,10,302
35222,810,2006-10-02,11,91
10371,524,2006-08-29,10,125
19025,1101,2006-08-02,13,152
12496,995,2006-07-31,10,154
36013,1498,2005-12-09,12,388
32174,1157,2006-08-31,11,123
3224,1004,2006-10-29,10,64
26394,1244,2005-10-28,11,430
30055,938,2006-10-13,11,80
26163,1266,2005-11-23,10,404
28285,746,2006-03-13,6,294
38987,869,2006-09-01,8,122
34817,523,2006-09-19,8,104
21374,913,2006-07-23,12,162
26355,1008,2006-05-30,10,216
8402,896,2006-12-17,10,15
26214,439,2006-05-10,6,236
22796,484,2006-07-11,6,174
36079,732,2006-05-26,8,220
34678,1289,2005-12-06,11,391
17034,887,2006-07-20,10,165
6270,958,2006-04-09,8,267
6122,1311,2006-10-01,11,92
22910,998,2006-11-22,11,40
36924,673,2006-09-21,8,102
35017,1319,2006-10-27,13,66
24469,1098,2006-05-03,9,243
